lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,16.0,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.4,2.4,7.800000000000001,0.15
16.0,16.0,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.8,2.4,8.2,0.025
16.0,16.0,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.7816105392563888,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.178
16.0,16.0,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.7674033363258921,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.058
16.0,16.0,40.0,FEA,6.404199475065617,78.96097243257863,183.15266473957664,0.9458317959657017,true,0.07916764138347857,true,16.0,16.0,5.0,2.4,7.3999999999999995,3.746
16.0,16.0,50.0,MDDM,6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,5.8,2.4,8.2,0.057
16.0,16.0,50.0,DDM (Full),6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,6.4,2.4,8.799999999999999,0.066
16.0,16.0,50.0,EFM (HC),6.404199475065617,85.85890952084128,199.15266473957664,0.8498911107997188,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.031
16.0,16.0,50.0,EFM (ASAP),6.404199475065617,85.85890952084128,199.15266473957664,0.8344427834378024,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.028
16.0,16.0,50.0,FEA,6.404199475065617,85.85890952084128,199.15266473957664,0.9932463443692954,true,0.09895644042176567,true,16.0,16.0,5.8,2.4,8.2,1.829
16.0,16.0,80.0,MDDM,6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.0,2.4,9.4,0.13
16.0,16.0,80.0,DDM (Full),6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.799999999999999,2.4,10.2,0.055
16.0,16.0,80.0,EFM (HC),6.404199475065617,106.25044540382892,247.1526647395766,0.9668713273658837,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.047
16.0,16.0,80.0,EFM (ASAP),6.404199475065617,106.25044540382892,247.1526647395766,0.9474608246403363,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.103
16.0,16.0,80.0,FEA,6.404199475065617,105.94859938806752,247.1526647395766,0.9080594646441915,true,0.14487002259157492,true,16.0,18.0,7.0,2.6,9.6,3.475
16.0,18.0,40.0,MDDM,7.2047244094488185,94.59985751827917,195.0467478320237,0.9495922247981688,true,0.03449060457376195,true,16.0,16.0,6.199999999999999,3.2,9.4,0.035
16.0,18.0,40.0,DDM (Full),7.2047244094488185,94.59985751827917,195.0467478320237,0.9495922247981688,true,0.03449060457376195,true,16.0,16.0,6.4,3.2,9.6,0.024
16.0,18.0,40.0,EFM (HC),7.2047244094488185,94.59985751827917,195.0467478320237,0.6856614747018721,true,0.03449060457376195,true,16.0,16.0,7.800000000000001,3.2,11.0,0.02
16.0,18.0,40.0,EFM (ASAP),7.2047244094488185,94.59985751827917,195.0467478320237,0.6754948827776466,true,0.03449060457376195,true,16.0,16.0,7.800000000000001,3.2,11.0,0.024
16.0,18.0,40.0,FEA,7.2047244094488185,94.59985751827917,195.0467478320237,0.7987593238963949,true,0.07819016574805532,true,16.0,16.0,5.4,3.2,8.600000000000001,2.379
16.0,18.0,50.0,MDDM,7.2047244094488185,101.77968658355995,211.04674783202367,0.8860265487138494,true,0.04311325571720244,true,16.0,18.0,6.4,3.2,9.6,0.048
16.0,18.0,50.0,DDM (Full),7.2047244094488185,101.77968658355995,211.04674783202367,0.8860265487138494,true,0.04311325571720244,true,16.0,18.0,6.8,3.2,10.0,0.043
