span_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,4.199999999999999,2.4,6.599999999999999,0.164
16.0,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,4.3999999999999995,2.4,6.8,0.033
16.0,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.7816105392563888,true,0.04910869284037587,true,16.0,16.0,5.2,2.4,7.6,0.219
16.0,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.7674033363258921,true,0.04910869284037587,true,16.0,16.0,5.2,2.4,7.6,0.042
16.0,40.0,FEA,6.404199475065617,78.96097243257863,183.15266473957664,0.966334002004747,true,0.04910869284037587,true,16.0,16.0,3.6,2.4,6.000000000000001,3.808
16.0,50.0,MDDM,7.0,89.16689838545635,208.0049823198569,0.8090974300136266,true,0.04700768017561303,true,16.0,18.0,4.6000000000000005,2.8000000000000003,7.4,0.956
16.0,50.0,DDM (Full),7.0,89.16689838545635,208.0049823198569,0.8090974300136266,true,0.04700768017561303,true,16.0,18.0,4.8,2.8000000000000003,7.6,0.108
16.0,50.0,EFM (HC),7.0,89.67533013047219,208.0049823198569,0.7534073495393472,true,0.04700768017561303,true,16.0,16.0,5.6000000000000005,2.8000000000000003,8.4,0.202
16.0,50.0,EFM (ASAP),7.0,89.67533013047219,208.0049823198569,0.7396203178812876,true,0.04700768017561303,true,16.0,16.0,5.6000000000000005,2.8000000000000003,8.4,0.219
16.0,50.0,FEA,6.404199475065617,85.37211571557368,199.15266473957664,0.9324343542712812,true,0.0613858660504699,true,16.0,18.0,3.6,2.4,6.000000000000001,3.494
16.0,80.0,MDDM,9.0,121.78540680358519,285.72069155410173,0.6836895110048044,true,0.03538794908144918,true,16.0,20.0,5.0,3.2,8.2,0.232
16.0,80.0,DDM (Full),9.0,121.78540680358519,285.72069155410173,0.6836895110048044,true,0.03538794908144918,true,16.0,20.0,5.2,3.2,8.4,0.201
16.0,80.0,EFM (HC),9.0,122.8307644212589,285.72069155410173,0.6387912926078065,true,0.03538794908144918,true,16.0,18.0,6.000000000000001,3.2,9.200000000000001,0.165
16.0,80.0,EFM (ASAP),9.0,122.8307644212589,285.72069155410173,0.6387912926078065,true,0.03538794908144918,true,16.0,18.0,6.000000000000001,3.2,9.200000000000001,0.126
16.0,80.0,FEA,6.404199475065617,105.34619545466147,247.1526647395766,0.981112414204032,true,0.09821738568075182,true,16.0,20.0,3.9999999999999996,2.4,6.4,4.481
20.0,40.0,MDDM,9.0,190.1036694515957,221.72069155410173,0.8626875534324911,true,0.034558544024852686,true,17.0,21.0,6.8,3.9999999999999996,10.799999999999999,0.089
20.0,40.0,DDM (Full),9.0,190.1036694515957,221.72069155410173,0.8626875534324911,true,0.034558544024852686,true,17.0,21.0,7.0,3.9999999999999996,11.0,0.124
20.0,40.0,EFM (HC),9.0,191.8189529260865,221.72069155410173,0.7923033149775621,true,0.034558544024852686,true,17.0,17.0,8.2,3.9999999999999996,12.2,0.049
20.0,40.0,EFM (ASAP),9.0,191.8189529260865,221.72069155410173,0.7762068446025909,true,0.034558544024852686,true,17.0,17.0,8.2,3.9999999999999996,12.2,0.053
20.0,40.0,FEA,8.00524934383202,177.43139371593026,206.9408309244708,0.9583293943806612,true,0.04910869284037592,true,17.0,21.0,5.3999999999999995,3.5999999999999996,8.999999999999998,9.639
20.0,50.0,MDDM,10.0,215.58752989390362,252.57854617122416,0.7804374058061503,true,0.031491473242647006,true,17.0,23.0,7.2,4.3999999999999995,11.6,0.121
20.0,50.0,DDM (Full),10.0,215.58752989390362,252.57854617122416,0.7804374058061503,true,0.031491473242647006,true,17.0,23.0,7.3999999999999995,4.3999999999999995,11.799999999999999,0.149
20.0,50.0,EFM (HC),10.0,218.5152496077948,252.57854617122416,0.7328420315516224,true,0.031491473242647006,true,17.0,17.0,8.600000000000001,4.3999999999999995,13.000000000000002,0.156
