lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,16.0,40.0,MDDM,6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.4,2.4,7.800000000000001,0.164
16.0,16.0,40.0,DDM (Full),6.404199475065617,78.96097243257863,183.15266473957664,0.9433491087301363,true,0.04910869284037587,true,16.0,16.0,5.8,2.4,8.2,0.023
16.0,16.0,40.0,EFM (HC),6.404199475065617,78.96097243257863,183.15266473957664,0.7816105392563888,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.161
16.0,16.0,40.0,EFM (ASAP),6.404199475065617,78.96097243257863,183.15266473957664,0.7674033363258921,true,0.04910869284037587,true,16.0,16.0,7.0,2.4,9.4,0.048
16.0,16.0,40.0,FEA,6.404199475065617,78.96097243257863,183.15266473957664,0.9461634395030265,true,0.07920330525228872,true,16.0,16.0,5.0,2.4,7.3999999999999995,4.078
16.0,16.0,50.0,MDDM,6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,5.8,2.4,8.2,0.059
16.0,16.0,50.0,DDM (Full),6.404199475065617,85.37211571557368,199.15266473957664,0.8810810472025304,true,0.0613858660504699,true,16.0,18.0,6.4,2.4,8.799999999999999,0.097
16.0,16.0,50.0,EFM (HC),6.404199475065617,85.85890952084128,199.15266473957664,0.8498911107997188,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.018
16.0,16.0,50.0,EFM (ASAP),6.404199475065617,85.85890952084128,199.15266473957664,0.8344427834378024,true,0.0613858660504699,true,16.0,16.0,7.800000000000001,2.4,10.2,0.023
16.0,16.0,50.0,FEA,6.404199475065617,85.61533962919503,199.15266473957664,0.9798340543564739,true,0.09918038867687591,true,16.0,18.0,6.0,2.4,8.4,6.084
16.0,16.0,80.0,MDDM,6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.0,2.4,9.4,0.13
16.0,16.0,80.0,DDM (Full),6.404199475065617,105.34619545466147,247.1526647395766,0.954190564403302,true,0.09821738568075182,true,16.0,20.0,7.799999999999999,2.4,10.2,0.065
16.0,16.0,80.0,EFM (HC),6.404199475065617,106.25044540382892,247.1526647395766,0.9668713273658837,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.042
16.0,16.0,80.0,EFM (ASAP),6.404199475065617,106.25044540382892,247.1526647395766,0.9474608246403363,true,0.09821738568075182,true,16.0,18.0,9.599999999999998,2.4,11.999999999999998,0.114
16.0,16.0,80.0,FEA,6.404199475065617,105.94859938806752,247.1526647395766,0.9076883247421855,true,0.1448662697451242,true,16.0,18.0,7.0,2.6,9.6,3.244
20.0,20.0,40.0,MDDM,8.00524934383202,177.43139371593026,206.9408309244708,0.949109598053831,true,0.04910869284037592,true,17.0,21.0,8.999999999999998,3.5999999999999996,12.599999999999998,0.844
20.0,20.0,40.0,DDM (Full),8.00524934383202,177.43139371593026,206.9408309244708,0.949109598053831,true,0.04910869284037592,true,17.0,21.0,9.8,3.5999999999999996,13.4,0.077
20.0,20.0,40.0,EFM (HC),8.00524934383202,179.03233670863926,206.9408309244708,0.9248306469426694,true,0.04910869284037592,true,17.0,17.0,12.2,3.5999999999999996,15.799999999999999,0.044
20.0,20.0,40.0,EFM (ASAP),8.00524934383202,179.03233670863926,206.9408309244708,0.9058720418453378,true,0.04910869284037592,true,17.0,17.0,12.2,3.5999999999999996,15.799999999999999,0.053
20.0,20.0,40.0,FEA,8.00524934383202,178.23096644223762,206.9408309244708,0.7913057858957594,true,0.07773876735715692,true,17.0,19.0,7.799999999999999,3.5999999999999996,11.399999999999999,8.443
20.0,20.0,50.0,MDDM,8.00524934383202,190.2903622658385,222.94083092447076,0.9725978325382533,true,0.06138586605046992,true,17.0,23.0,9.599999999999998,3.5999999999999996,13.199999999999998,0.108
20.0,20.0,50.0,DDM (Full),8.00524934383202,190.2903622658385,222.94083092447076,0.9725978325382533,true,0.06138586605046992,true,17.0,23.0,10.6,3.5999999999999996,14.2,0.101
20.0,20.0,50.0,EFM (HC),8.00524934383202,192.8745416255786,222.94083092447076,0.996335580430075,true,0.06138586605046992,true,17.0,17.0,13.0,3.5999999999999996,16.599999999999998,0.138
20.0,20.0,50.0,EFM (ASAP),8.00524934383202,192.8745416255786,222.94083092447076,0.9759111569140092,true,0.06138586605046992,true,17.0,17.0,13.0,3.5999999999999996,16.599999999999998,0.047
20.0,20.0,50.0,FEA,8.00524934383202,192.01121198554756,222.94083092447076,0.8522967174413203,true,0.09686942968108281,true,17.0,19.0,8.6,3.5999999999999996,12.2,8.677
20.0,20.0,80.0,MDDM,8.00524934383202,227.10612471390343,270.94083092447073,0.9878225334475107,true,0.0982173856807518,true,17.0,24.999999999999996,11.2,3.5999999999999996,14.799999999999999,0.105
20.0,20.0,80.0,DDM (Full),8.00524934383202,227.10612471390343,270.94083092447073,0.9878225334475107,true,0.0982173856807518,true,17.0,24.999999999999996,12.600000000000001,3.5999999999999996,16.2,0.179
20.0,20.0,80.0,EFM (HC),8.00524934383202,230.73922560150038,270.94083092447073,0.9837307254986,true,0.0982173856807518,true,17.0,23.0,15.599999999999998,3.5999999999999996,19.199999999999996,0.069
20.0,20.0,80.0,EFM (ASAP),8.00524934383202,230.73922560150038,270.94083092447073,0.9664116108199206,true,0.0982173856807518,true,17.0,23.0,15.599999999999998,3.5999999999999996,19.199999999999996,0.084
20.0,20.0,80.0,FEA,8.00524934383202,231.78254971195048,270.94083092447073,0.9983698032456659,true,0.2283402145986539,true,17.0,21.0,10.6,3.9999999999999996,14.6,11.302
24.0,24.0,40.0,MDDM,9.606299212598426,341.4611751604432,230.72899710936494,0.9917141710578085,true,0.049108692840375896,true,20.0,25.999999999999996,13.8,5.199999999999999,19.0,0.081
24.0,24.0,40.0,DDM (Full),9.606299212598426,341.4611751604432,230.72899710936494,0.9917141710578085,true,0.049108692840375896,true,20.0,25.999999999999996,14.999999999999998,5.199999999999999,20.2,0.089
24.0,24.0,40.0,EFM (HC),9.606299212598426,345.31671867059345,230.72899710936494,0.9551236006316718,true,0.049108692840375896,true,20.0,22.0,18.4,5.199999999999999,23.599999999999998,0.055
24.0,24.0,40.0,EFM (ASAP),9.606299212598426,345.9614136342105,230.72899710936494,0.9814943337882833,true,0.049108692840375896,true,20.0,20.0,18.8,5.199999999999999,24.0,0.039
24.0,24.0,40.0,FEA,9.606299212598426,345.9614136342105,230.72899710936494,0.9867502345769981,true,0.10546658519229668,true,20.0,20.0,13.6,5.199999999999999,18.8,8.95
24.0,24.0,50.0,MDDM,9.606299212598426,363.0871707879598,246.7289971093649,0.9500271651592797,true,0.06138586605046984,true,20.0,27.999999999999993,14.399999999999999,5.199999999999999,19.599999999999998,0.099
24.0,24.0,50.0,DDM (Full),9.606299212598426,363.0871707879598,246.7289971093649,0.9500271651592797,true,0.06138586605046984,true,20.0,27.999999999999993,15.999999999999998,5.199999999999999,21.2,0.107
24.0,24.0,50.0,EFM (HC),9.606299212598426,368.5740940772659,246.7289971093649,0.9640720575717551,true,0.06138586605046984,true,20.0,23.999999999999996,19.6,5.199999999999999,24.799999999999997,0.07
24.0,24.0,50.0,EFM (ASAP),9.606299212598426,369.26285274107886,246.7289971093649,0.9910691723728454,true,0.06138586605046984,true,20.0,22.0,19.799999999999997,5.199999999999999,24.999999999999996,0.1
24.0,24.0,50.0,FEA,9.606299212598426,368.9183930410432,246.7289971093649,0.9589933270132486,true,0.19609765408464397,true,20.0,22.0,14.6,5.4,20.0,13.303
24.0,24.0,80.0,MDDM,9.606299212598426,425.60027074669955,294.7289971093649,0.9748682875870476,true,0.09821738568075175,true,20.0,31.99999999999999,16.599999999999998,5.199999999999999,21.799999999999997,0.126
24.0,24.0,80.0,DDM (Full),9.606299212598426,425.60027074669955,294.7289971093649,0.9748682875870476,true,0.09821738568075175,true,20.0,31.99999999999999,18.8,5.199999999999999,24.0,0.178
24.0,24.0,80.0,EFM (HC),9.606299212598426,431.27890252835954,294.7289971093649,0.9678008087696972,true,0.09821738568075175,true,20.0,29.999999999999993,23.2,5.199999999999999,28.4,0.092
24.0,24.0,80.0,EFM (ASAP),9.606299212598426,432.0932077482424,294.7289971093649,0.9793636607404659,true,0.09821738568075175,true,20.0,27.999999999999993,23.4,5.199999999999999,28.599999999999994,0.095
24.0,24.0,80.0,FEA,9.606299212598426,433.7241222691708,294.7289971093649,0.9891477706231155,true,0.27345562954545216,true,20.0,23.999999999999996,16.0,5.6,21.6,16.773
28.0,28.0,40.0,MDDM,11.194225721784777,593.0669295464493,254.32217832553047,0.9628556359090344,true,0.049108692840375924,true,23.0,32.99999999999999,19.4,6.8,26.2,0.104
28.0,28.0,40.0,DDM (Full),11.194225721784777,593.0669295464493,254.32217832553047,0.9628556359090344,true,0.049108692840375924,true,23.0,32.99999999999999,21.799999999999997,6.8,28.6,0.15
28.0,28.0,40.0,EFM (HC),11.194225721784777,602.6764875317308,254.32217832553047,0.9938751296675814,true,0.049108692840375924,true,23.0,26.999999999999996,26.8,6.8,33.6,0.047
28.0,28.0,40.0,EFM (ASAP),11.194225721784777,602.6764875317308,254.32217832553047,0.9600967413243193,true,0.049108692840375924,true,23.0,26.999999999999996,26.8,6.8,33.6,0.06
28.0,28.0,40.0,FEA,11.194225721784777,602.6764875317308,254.32217832553047,0.9654557486950405,true,0.07542509785875134,true,23.0,24.999999999999996,19.4,6.8,26.2,27.968
28.0,28.0,50.0,MDDM,11.194225721784777,626.3154872897862,270.32217832553044,0.9969305979065111,true,0.061385866050469896,true,23.0,32.99999999999999,20.4,6.8,27.2,0.106
28.0,28.0,50.0,DDM (Full),11.194225721784777,626.3154872897862,270.32217832553044,0.9969305979065111,true,0.061385866050469896,true,23.0,32.99999999999999,23.0,6.8,29.8,0.107
28.0,28.0,50.0,EFM (HC),11.194225721784777,634.453946683453,270.32217832553044,0.9513837364178185,true,0.061385866050469896,true,23.0,30.999999999999993,28.200000000000003,6.8,35.0,0.088
28.0,28.0,50.0,EFM (ASAP),11.194225721784777,635.4749480132788,270.32217832553044,0.9599105417636984,true,0.061385866050469896,true,23.0,28.999999999999993,28.4,6.8,35.199999999999996,0.084
28.0,28.0,50.0,FEA,11.194225721784777,638.5428772102456,270.32217832553044,0.9888860806397428,true,0.08929629156429322,true,23.0,24.999999999999996,18.6,6.8,25.4,26.877
28.0,28.0,80.0,MDDM,11.194225721784777,725.6352894786547,318.3221783255304,1.0,true,0.09821738568075174,true,24.999999999999996,34.999999999999986,23.4,6.8,30.2,0.172
28.0,28.0,80.0,DDM (Full),11.194225721784777,725.6352894786547,318.3221783255304,1.0,true,0.09821738568075174,true,24.999999999999996,34.999999999999986,27.0,7.0,34.0,0.117
28.0,28.0,80.0,EFM (HC),11.194225721784777,732.7591713339556,318.3221783255304,0.9877314430573202,true,0.09821738568075174,true,23.0,34.999999999999986,33.199999999999996,7.0,40.2,0.079
28.0,28.0,80.0,EFM (ASAP),11.194225721784777,732.7591713339556,318.3221783255304,0.9865578189450246,true,0.09821738568075168,true,23.0,34.999999999999986,33.4,7.0,40.4,0.127
28.0,28.0,80.0,FEA,11.194225721784777,737.5277584254043,318.3221783255304,0.9891372631657432,true,0.13696797510190137,true,23.0,28.999999999999993,20.2,6.8,27.0,42.707
